student_id,first_name_clean,last_name_clean,school_id,cohort_year,test_date,test_score,running_variable,eligible,received_scholarship,award_date,enrolled_college,enrollment_date,first_year_gpa,rd_sample_10pt,rd_sample_5pt
100373,Daniel,Johnson,SCH004,2023,2022-12-14,93.9,8.900000000000006,1,1,2022-07-10,0,2023-09-14,,1,0
100377,Ashley,Brown,SCH002,2022,2022-04-23,53.7,-31.299999999999997,0,0,2021-11-07,1,2022-02-18,2.18,0,0
100378,Taylor,Taylor,SCH004,2021,2021-10-18,76.5,-8.5,0,0,2023-01-22,0,2023-02-26,,1,0
100395,Taylor,Brown,SCH003,2021,2023-03-08,84.5,-0.5,0,0,2021-12-14,1,2023-07-05,2.47,1,1
100421,Taylor,Brown,UNKNOWN,2023,2023-02-07,71.9,-13.099999999999994,0,0,2021-08-31,0,2022-08-08,,0,0
100460,Daniel,Wilson,SCH004,2023,2022-11-07,76.9,-8.099999999999994,0,0,2022-02-02,0,2023-05-03,,1,0
100468,Sarah,Wilson,SCH003,2023,2022-11-06,67.4,-17.599999999999994,0,0,2023-02-20,0,2022-12-11,,0,0
100480,David,Smith,SCH001,2022,2022-07-20,62.7,-22.299999999999997,0,0,2022-01-30,1,2022-12-26,1.92,0,0
100483,Maria,Wilson,SCH004,2022,2021-06-12,100.0,15.0,1,1,2022-07-30,1,2022-10-21,2.3,0,0
100502,James,Taylor,SCH002,2021,2020-11-26,96.3,11.299999999999997,1,1,2022-12-14,0,2021-11-17,,0,0
100511,David,Anderson,SCH003,2021,2021-02-20,95.1,10.099999999999994,1,1,2023-08-23,1,2021-11-13,2.41,0,0
100524,Maria,Anderson,SCH002,2022,2021-02-14,89.9,4.900000000000006,1,1,2021-05-16,1,2024-05-09,3.69,1,1
100537,Chris,Johnson,SCH005,2022,2021-08-12,76.5,-8.5,0,0,2021-07-25,1,2022-10-13,2.13,1,0
100548,James,Wilson,SCH003,2022,2021-04-27,75.6,-9.400000000000006,0,0,2021-03-17,1,2024-05-06,3.16,1,0
100580,Maria,Anderson,SCH005,2022,2021-10-07,81.4,-3.5999999999999943,0,0,2022-07-17,0,2024-04-13,,1,1
100594,Maria,Johnson,SCH002,2022,2022-06-09,81.7,-3.299999999999997,0,0,2022-09-08,1,2021-11-26,3.14,1,1
100611,Emily,Smith,SCH001,2021,2023-04-28,73.4,-11.599999999999994,0,1,2022-01-25,0,2023-04-28,,0,0
100618,David,Davis,SCH004,2021,2021-12-10,78.0,-7.0,0,0,2021-03-11,0,2023-12-18,,1,0
100642,Michael,Brown,SCH005,2021,2022-02-23,73.0,-12.0,0,0,2021-05-13,0,2021-09-07,,0,0
100649,Chris,Taylor,SCH005,2023,2020-11-12,85.5,0.5,1,1,2021-12-14,0,2023-05-23,,1,1
100652,James,Miller,SCH002,2021,2021-04-06,87.3,2.299999999999997,1,1,2022-12-31,0,2023-05-10,,1,1
100671,Emily,Anderson,SCH005,2022,2021-11-03,70.2,-14.799999999999997,0,0,2022-02-11,1,2021-11-15,2.91,0,0
100693,Maria,Miller,SCH002,2023,2023-01-11,75.8,-9.200000000000003,0,0,2023-01-20,0,2022-09-20,,1,0
100724,Emily,Anderson,SCH004,2021,2021-10-03,96.8,11.799999999999997,1,1,2021-01-31,1,2023-07-27,3.14,0,0
100730,James,Davis,SCH004,2022,2021-01-31,78.0,-7.0,0,0,,0,2024-04-14,,1,0
100735,Daniel,Johnson,SCH004,2023,2020-10-06,78.6,-6.400000000000006,0,0,2023-02-28,0,2021-08-04,,1,0
100742,Ashley,Wilson,SCH001,2022,2023-05-08,89.5,4.5,1,1,2022-02-23,1,2022-12-03,2.84,1,1
100751,Emily,Smith,SCH005,2021,2021-05-10,94.417034213954,9.417034213953997,1,1,2021-11-05,0,2022-07-10,,1,0
100788,Daniel,Davis,SCH004,2022,2022-07-28,85.1,0.09999999999999432,1,1,2022-01-02,0,2024-02-19,,1,1
100789,Taylor,Wilson,SCH005,2021,2022-04-11,84.0,-1.0,0,0,2021-10-20,0,2024-02-23,,1,1
100794,David,Moore,SCH003,2021,2022-08-26,77.9,-7.099999999999994,0,0,2022-04-03,1,2023-11-28,2.46,1,0
100802,Ashley,Garcia,SCH004,2021,2022-03-22,72.2,-12.799999999999997,0,0,2021-08-27,0,2024-03-31,,0,0
100820,Maria,Wilson,SCH004,2021,2022-03-14,99.1,14.099999999999994,1,1,2022-11-28,1,2023-06-02,3.51,0,0
100846,Sarah,Davis,SCH005,2022,2023-02-25,90.3,5.299999999999997,1,0,2022-12-30,1,2021-09-30,2.92,1,0
100879,Sarah,Miller,SCH005,2022,2021-06-15,63.8,-21.200000000000003,0,0,2023-02-17,0,2023-03-01,,0,0
100880,Sarah,Garcia,SCH005,2022,2023-04-16,73.5,-11.5,0,0,2023-06-16,1,2024-07-01,2.22,0,0
100883,David,Wilson,SCH005,2023,2023-04-01,91.4,6.400000000000006,1,0,2021-11-07,1,2022-07-20,3.24,1,0
100908,Emily,Miller,SCH001,2022,2022-02-23,84.0,-1.0,0,0,2022-12-22,0,2022-10-17,,1,1
100915,Emily,Brown,SCH002,2022,2021-09-06,91.8,6.799999999999997,1,1,2022-01-21,1,2022-10-24,2.15,1,0
100919,Daniel,Garcia,SCH003,2023,2021-01-31,71.81399653216712,-13.186003467832876,0,0,2021-02-01,0,2024-04-28,,0,0
100944,David,Brown,SCH003,2023,2020-11-03,80.7,-4.299999999999997,0,0,2021-09-16,1,2022-06-22,2.02,1,1
100959,James,Smith,SCH004,2021,2022-12-28,79.5,-5.5,0,0,2023-07-24,0,2023-07-02,,1,0
101029,David,Miller,SCH004,2022,2022-08-14,78.6,-6.400000000000006,0,0,2023-05-11,0,,,1,0
101034,Emily,Moore,SCH002,2021,2023-04-24,79.4,-5.599999999999994,0,0,2022-03-25,1,2023-04-29,2.44,1,0
101040,Daniel,Anderson,SCH005,2022,2022-02-18,77.6,-7.400000000000006,0,0,2023-05-19,0,2021-08-13,,1,0
101070,David,Johnson,SCH004,2022,2022-01-05,89.11747744058553,4.117477440585532,1,1,2022-02-15,1,2022-06-20,3.96,1,1
101081,Sarah,Brown,SCH001,2021,2022-01-31,80.6,-4.400000000000006,0,1,2022-01-16,1,2023-01-25,3.07,1,1
101085,Chris,Smith,SCH001,2023,2021-07-17,73.4,-11.599999999999994,0,0,2022-10-09,0,2023-05-31,,0,0
101086,Michael,Davis,SCH003,2022,2022-07-07,84.6,-0.4000000000000057,0,0,2023-03-24,0,2023-06-28,,1,1
101095,Ashley,Brown,SCH005,2022,2021-01-16,62.5,-22.5,0,0,2023-01-24,1,2024-08-22,2.55,0,0
101097,James,Garcia,SCH003,2023,2021-01-06,70.7,-14.299999999999997,0,0,2021-06-11,0,2023-11-13,,0,0
101104,Michael,Garcia,SCH002,2022,2021-06-08,77.5,-7.5,0,0,,1,2022-05-19,1.4,1,0
101114,Sarah,Miller,SCH004,2022,2022-03-09,83.7,-1.2999999999999972,0,0,2023-07-11,0,2021-09-10,,1,1
101132,Ashley,Davis,SCH005,2022,2022-08-17,79.7,-5.299999999999997,0,0,2021-02-08,0,2023-11-04,,1,0
101136,Ashley,Miller,SCH005,2021,2021-01-14,64.2,-20.799999999999997,0,0,2023-01-11,1,2021-12-08,2.06,0,0
101142,Sarah,Anderson,SCH002,2023,2023-01-13,75.6,-9.400000000000006,0,0,2021-08-06,0,2023-10-12,,1,0
101154,Ashley,Smith,SCH003,2023,2020-12-24,70.6,-14.400000000000006,0,0,2022-02-14,0,2022-12-14,,0,0
101161,Emily,Johnson,SCH001,2023,2023-05-18,77.4,-7.599999999999994,0,1,2021-06-11,0,2024-05-25,,1,0
101176,James,Smith,SCH002,2022,2020-10-14,74.1,-10.900000000000006,0,1,2022-02-07,1,2023-04-07,2.11,0,0
101178,Michael,Brown,SCH001,2022,2020-09-03,72.4,-12.599999999999994,0,0,2021-04-09,0,2022-12-11,,0,0
101190,Maria,Smith,SCH004,2023,2021-05-08,73.45464908739767,-11.54535091260233,0,0,2022-04-05,0,2024-05-08,,0,0
101200,Emily,Smith,SCH004,2021,2023-01-11,68.2,-16.799999999999997,0,0,2021-10-03,1,2023-05-24,1.92,0,0
101211,Sarah,Moore,SCH001,2023,2021-11-06,77.6,-7.400000000000006,0,0,2021-01-24,0,2023-05-25,,1,0
101223,Taylor,Brown,SCH005,2021,2022-10-12,67.7,-17.299999999999997,0,0,2023-07-12,1,2023-12-10,2.44,0,0
101237,Sarah,Smith,SCH004,2023,2022-03-19,94.6,9.599999999999994,1,0,2022-11-22,1,2024-06-09,2.62,1,0
101274,Chris,Davis,SCH003,2023,2020-11-26,72.2,-12.799999999999997,0,0,2021-12-22,0,2022-06-05,,0,0
101282,Michael,Miller,SCH002,2023,2022-04-15,75.3,-9.700000000000003,0,0,2022-02-28,0,2024-01-21,,1,0
101298,Taylor,Moore,SCH002,2021,2021-12-08,99.7,14.700000000000003,1,1,2022-12-26,1,2024-02-03,2.66,0,0
101311,Daniel,Brown,SCH005,2023,2022-12-20,76.2,-8.799999999999997,0,0,2023-07-20,0,2022-02-06,,1,0
101332,Ashley,Taylor,SCH005,2023,2020-10-03,70.0,-15.0,0,0,2023-02-09,0,2021-09-22,,0,0
101341,Ashley,Davis,SCH003,2021,2023-05-07,82.9,-2.0999999999999943,0,0,2021-02-07,0,2023-08-21,,1,1
101345,Daniel,Garcia,SCH003,2022,2021-07-15,81.5,-3.5,0,0,2022-09-10,1,2022-01-06,2.18,1,1
101400,James,Miller,SCH002,2022,2020-11-06,83.1,-1.9000000000000057,0,0,2022-11-16,1,2024-06-08,2.58,1,1
101436,Sarah,Wilson,SCH001,2021,2021-08-06,69.9,-15.099999999999994,0,0,2022-04-12,0,2023-09-01,,0,0
101442,Michael,Wilson,SCH002,2021,2020-11-13,74.6,-10.400000000000006,0,0,2023-05-04,1,2022-05-11,2.27,0,0
101447,James,Johnson,SCH004,2021,2021-12-06,77.6,-7.400000000000006,0,0,2021-10-12,1,2022-08-10,2.48,1,0
101481,Maria,Anderson,SCH003,2022,2023-03-13,83.2,-1.7999999999999972,0,0,2023-08-23,1,2023-10-13,2.52,1,1
101500,Daniel,Taylor,SCH002,2022,2021-03-10,69.7,-15.299999999999997,0,0,2023-02-15,1,2023-10-05,1.98,0,0
101501,Daniel,Moore,SCH004,2021,2022-07-20,80.0,-5.0,0,0,2022-02-17,0,2021-11-01,,1,1
101512,James,Wilson,SCH003,2023,2023-05-10,76.2,-8.799999999999997,0,0,2022-08-22,0,2022-09-12,,1,0
101524,Taylor,Taylor,SCH001,2021,2021-03-13,67.2,-17.799999999999997,0,0,2021-08-18,1,2023-02-24,2.08,0,0
101529,Taylor,Brown,UNKNOWN,2023,2021-05-27,81.4,-3.5999999999999943,0,0,2022-06-23,0,2024-05-01,,1,1
101537,Chris,Miller,SCH004,2022,2021-12-01,85.4,0.4000000000000057,1,1,2023-07-24,1,2024-03-23,2.72,1,1
101554,Maria,Smith,SCH003,2022,2021-07-09,85.4,0.4000000000000057,1,1,2022-02-23,0,2022-03-26,,1,1
101563,Emily,Johnson,SCH001,2021,2022-09-23,72.2,-12.799999999999997,0,0,2022-10-27,0,2023-01-30,,0,0
101569,Emily,Johnson,SCH005,2022,2021-06-22,92.0,7.0,1,1,2022-12-18,0,2024-04-07,,1,0
101598,Emily,Smith,SCH004,2022,2021-04-12,85.9,0.9000000000000057,1,1,2021-10-22,0,2022-10-26,,1,1
101607,James,Moore,SCH001,2023,2022-09-12,84.7,-0.29999999999999716,0,1,2023-04-19,1,2022-08-16,1.91,1,1
101611,David,Miller,SCH005,2022,2022-11-18,68.1,-16.900000000000006,0,0,2022-06-25,1,2022-08-24,2.33,0,0
101641,James,Johnson,SCH005,2022,2023-01-21,84.3,-0.7000000000000028,0,0,2022-09-06,1,2023-03-04,2.69,1,1
101660,Chris,Wilson,SCH001,2021,2022-08-19,75.8,-9.200000000000003,0,0,2023-04-11,0,2021-08-30,,1,0
101662,Daniel,Moore,SCH004,2023,2021-04-12,77.7,-7.299999999999997,0,0,2023-05-28,0,2021-08-13,,1,0
101664,Ashley,Anderson,SCH001,2023,2021-04-07,74.6,-10.400000000000006,0,1,2021-07-04,1,2022-07-24,2.21,0,0
101694,Taylor,Taylor,SCH003,2023,2021-05-04,72.9,-12.099999999999994,0,0,2023-05-07,0,2024-01-08,,0,0
101746,Taylor,Davis,SCH004,2023,2021-07-04,87.5,2.5,1,1,2021-03-19,1,2021-09-07,2.4,1,1
101753,David,Johnson,SCH005,2022,2021-09-05,97.05852970951031,12.05852970951031,1,1,2021-02-09,1,2023-08-24,3.3,0,0
101761,Michael,Miller,SCH001,2022,2021-09-22,76.8,-8.200000000000003,0,0,2021-05-04,0,2023-05-20,,1,0
101792,David,Wilson,SCH004,2021,2021-03-09,84.3,-0.7000000000000028,0,0,2022-07-19,1,2021-11-03,2.67,1,1
101845,Ashley,Moore,SCH002,2021,2021-04-13,76.0,-9.0,0,0,2022-07-30,0,2022-06-24,,1,0
101852,Emily,Miller,SCH004,2023,2022-10-01,69.0,-16.0,0,0,2021-11-12,1,2022-12-04,3.22,0,0
101886,Maria,Moore,SCH005,2023,2020-10-10,74.8,-10.200000000000003,0,0,2021-11-07,0,2024-03-19,,0,0
101890,Ashley,Moore,SCH005,2022,2020-11-27,75.4,-9.599999999999994,0,0,2021-12-09,0,2023-02-25,,1,0
101895,Sarah,Wilson,SCH002,2023,2021-04-01,63.9,-21.1,0,0,2021-10-28,0,2022-10-26,,0,0
101913,Taylor,Moore,SCH005,2021,2020-10-16,74.5,-10.5,0,0,2023-03-08,0,2022-03-24,,0,0
101914,Daniel,Smith,SCH005,2023,2020-12-08,86.7,1.7000000000000028,1,1,2023-03-13,1,2022-06-21,2.87,1,1
101929,David,Moore,SCH002,2021,2022-04-20,79.7,-5.299999999999997,0,1,2022-10-27,1,2021-08-30,2.61,1,0
101993,Ashley,Johnson,SCH004,2021,2020-09-14,67.1,-17.900000000000006,0,0,2022-01-08,1,2022-04-10,1.79,0,0
100022,David,Smith,SCH004,2023,2021-01-18,73.3,-11.700000000000003,0,0,2023-08-08,0,2023-08-28,,0,0
100023,David,Miller,SCH005,2022,2022-06-22,67.1,-17.900000000000006,0,0,2021-03-16,0,2021-12-19,,0,0
100025,Ashley,Brown,SCH005,2023,2023-02-27,100.0,15.0,1,1,2023-07-25,0,2022-10-09,,0,0
100043,Chris,Miller,SCH003,2023,2023-03-21,76.3,-8.700000000000003,0,1,2022-09-22,0,2024-06-08,,1,0
100074,Sarah,Taylor,SCH003,2022,2022-10-20,96.4,11.400000000000006,1,0,2022-03-12,0,2023-07-15,,0,0
100097,Michael,Johnson,SCH005,2022,2020-10-30,92.6,7.599999999999994,1,1,,1,2022-06-20,2.74,1,0
100100,Emily,Moore,SCH002,2023,2022-11-30,71.0,-14.0,0,0,2023-03-04,1,2022-03-13,1.27,0,0
100120,Ashley,Brown,SCH002,2023,2020-10-15,65.8,-19.200000000000003,0,1,2022-11-30,0,2022-02-01,,0,0
100134,Ashley,Davis,SCH001,2023,2021-02-05,82.5,-2.5,0,0,2022-11-01,0,2024-06-01,,1,1
100147,David,Johnson,SCH003,2023,2023-03-25,81.8,-3.200000000000003,0,0,2022-07-05,0,2022-09-29,,1,1
100151,Michael,Wilson,SCH003,2021,2020-12-03,76.6,-8.400000000000006,0,1,2022-11-05,1,2023-07-20,2.29,1,0
100163,James,Wilson,SCH005,2021,2020-12-04,93.8,8.799999999999997,1,1,2023-04-25,0,2023-03-01,,1,0
100170,Ashley,Johnson,SCH005,2021,2021-08-27,52.1,-32.9,0,0,2022-08-19,1,2022-05-04,2.12,0,0
100178,Taylor,Brown,SCH004,2023,2023-03-15,78.5,-6.5,0,0,2021-05-06,0,2022-11-21,,1,0
100197,James,Anderson,SCH001,2021,2023-02-11,80.6,-4.400000000000006,0,0,2021-12-01,1,2022-05-17,1.88,1,1
100240,James,Garcia,SCH002,2021,2021-08-31,85.0,0.0,1,0,2022-09-23,1,2021-12-11,3.02,1,1
100245,Taylor,Davis,SCH002,2021,2022-08-07,76.8,-8.200000000000003,0,0,2023-07-21,0,2023-01-30,,1,0
100246,Sarah,Garcia,SCH005,2022,2021-10-26,86.85322881840852,1.8532288184085246,1,1,2022-03-13,0,2022-01-25,,1,1
100247,Sarah,Miller,SCH001,2023,2021-05-24,70.0,-15.0,0,1,2023-08-24,1,2022-09-29,2.18,0,0
100254,Maria,Smith,SCH001,2022,2021-04-07,72.35231776156043,-12.647682238439572,0,0,2023-04-02,1,2022-10-14,1.83,0,0
100279,Taylor,Brown,SCH002,2021,2021-04-30,89.3,4.299999999999997,1,1,2021-04-15,0,2023-03-15,,1,1
100298,Sarah,Wilson,SCH001,2022,2022-11-16,69.5,-15.5,0,0,2022-09-10,1,2023-06-03,3.1,0,0
100331,David,Brown,SCH003,2021,2023-05-30,90.0,5.0,1,1,2021-11-01,1,2023-02-21,2.66,1,1
100345,Sarah,Miller,SCH005,2022,2022-09-16,81.1,-3.9000000000000057,0,0,2022-08-05,0,2024-02-13,,1,1
100357,Daniel,Garcia,SCH003,2023,2021-06-15,68.5,-16.5,0,1,2022-04-21,1,2024-03-30,2.15,0,0
100366,James,Davis,SCH002,2021,2022-03-17,74.2,-10.799999999999997,0,0,2023-03-11,1,2024-06-27,3.1,0,0
100386,Daniel,Miller,SCH002,2022,2021-10-16,77.2,-7.799999999999997,0,0,2022-04-27,1,2024-03-05,1.77,1,0
100396,Taylor,Smith,SCH003,2021,2021-01-11,77.2,-7.799999999999997,0,0,2022-09-05,1,2021-10-16,2.63,1,0
100434,David,Miller,SCH004,2022,2022-10-29,100.0,15.0,1,1,2022-11-18,0,,,0,0
100440,Taylor,Taylor,SCH004,2022,2021-01-02,83.2,-1.7999999999999972,0,0,2023-01-12,1,2023-03-31,2.68,1,1
100482,Sarah,Moore,SCH004,2021,2021-12-15,69.36316457299161,-15.636835427008393,0,0,2021-12-02,0,2022-10-22,,0,0
100486,Sarah,Johnson,SCH001,2023,2020-09-25,76.5,-8.5,0,0,2021-09-26,0,2023-10-29,,1,0
100503,Ashley,Johnson,SCH001,2022,2021-06-19,79.6,-5.400000000000006,0,0,2021-06-05,0,2022-03-31,,1,0
100504,James,Taylor,SCH001,2022,2021-09-06,81.23782982927274,-3.7621701707272592,0,0,2021-01-24,0,2024-02-11,,1,1
100529,Sarah,Davis,SCH002,2021,2021-08-14,92.9,7.900000000000006,1,1,2022-06-11,1,2021-12-01,3.1,1,0
100530,Chris,Garcia,SCH005,2022,2021-12-04,86.5,1.5,1,1,2023-01-13,0,2022-05-06,,1,1
100543,Taylor,Moore,SCH001,2021,2022-10-29,81.6707937184254,-3.3292062815745993,0,0,2022-02-14,0,2023-04-12,,1,1
100592,Chris,Anderson,SCH003,2022,2021-06-17,100.0,15.0,1,1,2021-03-10,1,2022-09-01,3.04,0,0
100601,Maria,Davis,SCH002,2022,2023-05-13,76.7,-8.299999999999997,0,0,2022-02-16,1,2023-04-28,2.05,1,0
100699,Maria,Moore,SCH002,2022,2023-01-20,82.0,-3.0,0,0,2021-07-27,1,2023-08-13,2.71,1,1
100726,David,Taylor,SCH001,2022,2021-08-18,67.5,-17.5,0,0,2023-08-13,0,2022-07-03,,0,0
100749,Sarah,Taylor,SCH003,2022,2021-03-30,66.2,-18.799999999999997,0,0,2022-03-03,1,2023-10-29,2.0,0,0
100754,Emily,Taylor,SCH002,2023,2023-01-09,82.5,-2.5,0,0,2021-09-06,0,2023-08-05,,1,1
100761,David,Garcia,SCH002,2022,2023-05-25,71.2,-13.799999999999997,0,0,2022-08-23,0,2022-09-30,,0,0
100766,Sarah,Anderson,SCH002,2023,2021-11-25,71.5,-13.5,0,1,2023-07-21,1,2023-06-01,2.3,0,0
100773,Taylor,Smith,SCH005,2021,2020-11-10,81.0,-4.0,0,0,2022-07-26,1,2022-04-23,3.58,1,1
100787,Chris,Brown,SCH005,2021,2021-04-07,65.1,-19.900000000000006,0,0,2022-01-04,0,2022-03-28,,0,0
100827,Emily,Smith,SCH002,2023,2022-08-17,95.40900287170459,10.409002871704587,1,1,2021-07-19,1,2022-02-24,3.51,0,0
100831,James,Miller,SCH001,2022,2021-02-08,80.9,-4.099999999999994,0,0,2022-09-21,1,2023-04-01,2.14,1,1
100837,Daniel,Anderson,SCH005,2023,2021-11-12,75.9,-9.099999999999994,0,0,2023-01-07,1,2023-10-04,2.47,1,0
100844,Daniel,Miller,SCH001,2022,2022-04-25,60.7,-24.299999999999997,0,0,2021-10-08,1,2023-09-13,2.0,0,0
100845,Michael,Anderson,SCH003,2022,2022-09-24,81.3,-3.700000000000003,0,0,2021-05-11,0,2022-11-22,,1,1
100848,Daniel,Johnson,SCH003,2021,2021-10-03,86.3,1.2999999999999972,1,1,2022-08-23,1,2022-07-05,3.56,1,1
100871,Daniel,Anderson,SCH004,2023,2020-09-06,82.3,-2.700000000000003,0,0,2021-09-22,0,2024-08-28,,1,1
100940,Maria,Johnson,SCH003,2023,2020-10-30,67.7,-17.299999999999997,0,0,2022-07-07,0,2022-08-06,,0,0
100947,Chris,Garcia,SCH002,2021,2023-03-18,91.0,6.0,1,1,2021-08-08,0,2024-03-19,,1,0
100953,Chris,Garcia,SCH002,2021,2022-08-16,69.6,-15.400000000000006,0,0,2022-01-23,0,2022-01-19,,0,0
100954,Daniel,Moore,SCH005,2021,2021-01-31,80.3,-4.700000000000003,0,1,2023-04-27,0,2021-11-13,,1,1
100965,Chris,Brown,SCH001,2022,2021-05-29,72.2,-12.799999999999997,0,0,2023-05-26,1,2022-11-13,2.05,0,0
100985,Michael,Moore,SCH002,2021,2021-04-03,81.8,-3.200000000000003,0,0,2023-05-31,0,2022-06-08,,1,1
100990,Taylor,Moore,SCH002,2023,2021-03-08,71.7,-13.299999999999997,0,0,2023-07-31,1,2022-07-20,2.66,0,0
100997,Chris,Anderson,SCH001,2023,2022-12-24,75.3,-9.700000000000003,0,0,2021-07-02,0,2024-02-26,,1,0
101010,Ashley,Wilson,SCH004,2023,2020-12-12,73.4,-11.599999999999994,0,0,2023-03-14,0,2024-08-09,,0,0
101018,Michael,Smith,SCH004,2022,2022-11-17,58.88488051873925,-26.11511948126075,0,0,2021-03-06,0,2023-04-22,,0,0
101023,David,Smith,SCH005,2023,2021-01-03,80.9,-4.099999999999994,0,0,2021-01-10,1,2023-01-19,2.03,1,1
101068,Maria,Davis,SCH001,2022,2022-08-29,69.0,-16.0,0,0,2023-07-30,0,2022-05-01,,0,0
101082,Taylor,Davis,SCH003,2022,2020-11-10,92.8,7.799999999999997,1,0,2022-04-25,0,2022-08-31,,1,0
101101,Emily,Anderson,SCH002,2022,2021-11-18,76.0,-9.0,0,0,2021-07-19,0,2023-06-16,,1,0
101137,Maria,Brown,SCH002,2023,2021-09-06,89.6,4.599999999999994,1,1,2021-12-02,1,2023-05-31,2.06,1,1
101153,Taylor,Brown,SCH005,2021,2023-03-31,77.5,-7.5,0,0,2021-07-28,1,2021-08-10,2.16,1,0
101155,James,Garcia,SCH005,2023,2020-09-11,74.6,-10.400000000000006,0,0,2023-08-14,0,2021-08-06,,0,0
101219,Emily,Taylor,SCH003,2021,2021-06-01,82.1,-2.9000000000000057,0,0,2022-04-24,1,2023-04-17,2.75,1,1
101238,Chris,Wilson,SCH005,2023,2022-04-21,82.6,-2.4000000000000057,0,0,2023-03-20,1,2022-02-06,2.16,1,1
101257,Emily,Taylor,SCH005,2022,2021-03-24,82.2,-2.799999999999997,0,0,2021-03-30,0,2024-01-17,,1,1
101261,Emily,Davis,SCH003,2022,2020-11-07,89.1,4.099999999999994,1,0,2022-12-28,0,2021-11-18,,1,1
101265,David,Smith,SCH001,2023,2020-12-14,88.1,3.0999999999999943,1,1,2022-05-12,0,2023-08-03,,1,1
101273,Taylor,Brown,SCH003,2022,2021-04-03,67.9,-17.099999999999994,0,0,2023-01-11,0,2023-05-16,,0,0
101279,David,Davis,SCH005,2022,2022-08-03,94.6,9.599999999999994,1,1,2023-01-07,1,2023-04-26,3.13,1,0
101288,David,Garcia,SCH003,2022,2022-02-17,90.6,5.599999999999994,1,1,2021-07-04,1,2023-08-14,2.99,1,0
101314,David,Wilson,SCH003,2023,2022-05-08,64.9,-20.099999999999994,0,0,2022-02-08,0,2022-10-14,,0,0
101317,Ashley,Taylor,SCH004,2023,2021-06-11,61.57863485464085,-23.421365145359147,0,0,2021-09-24,1,2024-03-04,1.42,0,0
101327,Maria,Anderson,UNKNOWN,2023,2022-04-01,57.9,-27.1,0,0,2021-08-27,0,2023-12-20,,0,0
101328,Ashley,Davis,SCH005,2021,2021-09-22,90.3,5.299999999999997,1,0,2023-03-06,0,2021-09-05,,1,0
101339,Emily,Moore,SCH002,2023,2022-05-29,83.7,-1.2999999999999972,0,0,2021-05-19,0,2023-03-12,,1,1
101340,James,Taylor,SCH005,2022,2021-02-18,77.9,-7.099999999999994,0,0,2022-08-09,0,2023-02-24,,1,0
101385,Chris,Moore,SCH004,2022,2022-11-18,69.5,-15.5,0,0,2021-04-15,0,2023-03-13,,0,0
101407,Daniel,Miller,SCH004,2022,2022-10-05,68.0,-17.0,0,1,2023-02-09,0,2022-06-22,,0,0
101420,Taylor,Wilson,SCH005,2023,2022-06-20,82.5,-2.5,0,0,2021-01-16,0,2023-04-23,,1,1
101421,Michael,Wilson,SCH003,2023,2022-09-08,86.7,1.7000000000000028,1,1,2021-03-28,1,2023-11-05,1.75,1,1
101448,Daniel,Miller,SCH005,2021,2022-11-30,80.4,-4.599999999999994,0,0,2022-03-21,0,2023-04-03,,1,1
101462,David,Miller,SCH005,2022,2022-01-25,76.9,-8.099999999999994,0,0,2023-06-29,1,2022-04-26,1.55,1,0
